id,codice,titolo_it,titolo_en,livello,codice_padre,livello_padre,ordine,created_at,updated_at
1667,46.44.4,Commercio all'ingrosso di prodotti per la pulizia,Wholesale of cleaning materials,5,46.44,4,1667,2026-01-30 14:17:51,2026-01-30 14:17:51
1668,46.44.40,Commercio all'ingrosso di prodotti per la pulizia,Wholesale of cleaning materials,6,46.44.4,5,1668,2026-01-30 14:17:51,2026-01-30 14:17:51
1669,46.45,Commercio all'ingrosso di profumi e cosmetici,Wholesale of perfume and cosmetics,4,46.4,3,1669,2026-01-30 14:17:51,2026-01-30 14:17:51
1670,46.45.0,Commercio all'ingrosso di profumi e cosmetici,Wholesale of perfume and cosmetics,5,46.45,4,1670,2026-01-30 14:17:51,2026-01-30 14:17:51
1671,46.45.00,Commercio all'ingrosso di profumi e cosmetici,Wholesale of perfume and cosmetics,6,46.45.0,5,1671,2026-01-30 14:17:51,2026-01-30 14:17:51
1672,46.46,Commercio all'ingrosso di prodotti farmaceutici e medicali,Wholesale of pharmaceutical and medical goods,4,46.4,3,1672,2026-01-30 14:17:51,2026-01-30 14:17:51
1673,46.46.1,Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici,Wholesale of basic pharmaceutical products and pharmaceutical preparations,5,46.46,4,1673,2026-01-30 14:17:51,2026-01-30 14:17:51
1674,46.46.10,Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici,Wholesale of basic pharmaceutical products and pharmaceutical preparations,6,46.46.1,5,1674,2026-01-30 14:17:51,2026-01-30 14:17:51
1675,46.46.2,Commercio all'ingrosso di rimedi erboristici,Wholesale of herbal remedies,5,46.46,4,1675,2026-01-30 14:17:51,2026-01-30 14:17:51
1676,46.46.20,Commercio all'ingrosso di rimedi erboristici,Wholesale of herbal remedies,6,46.46.2,5,1676,2026-01-30 14:17:51,2026-01-30 14:17:51
1677,46.46.3,Commercio all'ingrosso di prodotti medicali e ortopedici,Wholesale of medical and orthopaedic goods,5,46.46,4,1677,2026-01-30 14:17:51,2026-01-30 14:17:51
1678,46.46.31,Commercio all'ingrosso di occhiali e lenti,"Wholesale of glasses, sunglasses and lenses",6,46.46.3,5,1678,2026-01-30 14:17:51,2026-01-30 14:17:51
1679,46.46.39,Commercio all'ingrosso di prodotti medicali e ortopedici n.c.a.,Wholesale of medical and orthopaedic goods n.e.c.,6,46.46.3,5,1679,2026-01-30 14:17:51,2026-01-30 14:17:51
1680,46.47,"Commercio all'ingrosso di mobili, tappeti e articoli per l'illuminazione per la casa, l'ufficio e i negozi","Wholesale of household, office and shop furniture, carpets and lighting equipment",4,46.4,3,1680,2026-01-30 14:17:51,2026-01-30 14:17:51
1681,46.47.1,"Commercio all'ingrosso di mobili per la casa, l'ufficio e i negozi","Wholesale of household, office and shop furniture",5,46.47,4,1681,2026-01-30 14:17:51,2026-01-30 14:17:51
1682,46.47.10,"Commercio all'ingrosso di mobili per la casa, l'ufficio e i negozi","Wholesale of household, office and shop furniture",6,46.47.1,5,1682,2026-01-30 14:17:51,2026-01-30 14:17:51
1683,46.47.2,"Commercio all'ingrosso di tappeti per la casa, l'ufficio e i negozi","Wholesale of household, office and shop carpets",5,46.47,4,1683,2026-01-30 14:17:51,2026-01-30 14:17:51
1684,46.47.20,"Commercio all'ingrosso di tappeti per la casa, l'ufficio e i negozi","Wholesale of household, office and shop carpets",6,46.47.2,5,1684,2026-01-30 14:17:51,2026-01-30 14:17:51
1685,46.47.3,"Commercio all'ingrosso di articoli per l'illuminazione per la casa, l'ufficio e i negozi","Wholesale of household, office and shop lighting equipment",5,46.47,4,1685,2026-01-30 14:17:51,2026-01-30 14:17:51
